Index,Time,(INS).Yaw
0,0.000000,0
1,1.591000,0
2,1.611000,0
3,1.632000,0
4,1.653000,0
5,1.671000,0
6,1.690000,0
7,1.710000,0
8,1.730000,0
9,1.756000,0
10,1.793000,0
11,1.812000,0
12,1.831000,0
13,1.850000,0
14,1.869000,0
15,1.888000,0
16,1.909000,0
17,1.928000,0
18,1.949000,0
19,1.972000,0
20,1.992000,0
21,2.012000,0
22,2.057000,0
23,2.076000,0
24,2.096000,0
25,2.115000,0
26,2.140000,0
27,2.159000,0
28,2.179000,0
29,2.198000,0
30,2.219000,0
31,2.239000,0
32,2.258000,0
33,2.297000,0
34,2.316000,0
35,2.334000,0
36,2.355000,0
37,2.374000,0
38,2.395000,0
39,2.418000,0
40,2.437000,0
41,2.456000,0
42,2.475000,0
43,2.494000,0
44,2.546000,0
45,2.565000,0
46,2.584000,0
47,2.602000,0
48,2.621000,0
49,2.642000,0
50,2.661000,0
51,2.688000,0
52,2.707000,0
53,2.727000,0
54,2.745000,0
55,2.768000,0
56,2.807000,0
57,2.826000,0
58,2.851000,0
59,2.871000,0
60,2.890000,0
61,2.909000,0
62,2.928000,0
63,2.946000,0
64,2.965000,0
65,2.985000,0
66,3.004000,0
67,3.049000,0
68,3.074000,0
69,3.094000,0
70,3.114000,0
71,3.133000,0
72,3.151000,0
73,3.169000,0
74,3.189000,0
75,3.208000,0
76,3.227000,0
77,3.248000,0
78,3.290000,0
79,3.310000,0
80,3.330000,0
81,3.349000,0
82,3.369000,0
83,3.387000,0
84,3.412000,0
85,3.431000,0
86,3.453000,0
87,3.474000,0
88,3.493000,0
89,3.545000,0
90,3.572000,0
91,3.590000,0
92,3.609000,0
93,3.629000,0
94,3.648000,0
95,3.666000,0
96,3.685000,0
97,3.705000,0
98,3.724000,0
99,3.743000,0
100,3.763000,0
101,3.807000,0
102,3.826000,0
103,3.845000,0
104,3.864000,0
105,3.883000,0
106,3.903000,0
107,3.922000,0
108,3.943000,0
109,3.967000,0
110,3.985000,0
111,4.005000,0
112,4.054000,0
113,4.073000,0
114,4.093000,0
115,4.113000,0
116,4.138000,0
117,4.157000,0
118,4.177000,0
119,4.197000,0
120,4.216000,0
121,4.238000,0
122,4.257000,0
123,4.306000,0
124,4.325000,0
125,4.347000,0
126,4.365000,0
127,4.384000,0
128,4.404000,0
129,4.425000,0
130,4.444000,0
131,4.463000,0
132,4.482000,0
133,4.501000,0
134,4.524000,0
135,4.563000,0
136,4.582000,0
137,4.602000,0
138,4.623000,0
139,4.642000,0
140,4.660000,0
141,4.680000,0
142,4.700000,0
143,4.721000,0
144,4.741000,0
145,4.760000,0
146,4.799000,0
147,4.818000,0
148,4.838000,0
149,4.860000,0
150,4.878000,0
151,4.898000,0
152,4.919000,0
