Index,Time,(gimbal).output_speed_[1],((gimbal).motor_[1]).tor_
0,0.000000,565.602356,367
1,0.026000,637.005676,403
2,0.051000,599.271362,427
3,0.078000,611.377441,403
4,0.106000,611.234558,421
5,0.136000,570.127869,355
6,0.168000,611.987976,360
7,0.192000,567.210205,426
8,0.218000,558.854858,439
9,0.243000,514.43927,471
10,0.269000,643.632935,439
11,0.294000,655.803955,452
12,0.319000,627.079285,403
13,0.344000,665.460205,416
14,0.401000,602.17334,385
15,0.429000,643.587891,435
16,0.453000,610.29657,421
17,0.480000,698.226685,403
18,0.505000,646.457458,396
19,0.530000,648.850586,403
20,0.554000,632.809692,417
21,0.583000,662.465515,372
22,0.611000,607.164978,483
23,0.646000,626.717529,452
24,0.679000,645.597412,390
25,0.704000,612.12738,416
26,0.730000,618.72113,456
27,0.756000,652.096191,452
28,0.780000,710.3349,434
29,0.806000,646.33667,488
30,0.831000,638.516235,444
31,0.885000,682.882874,474
32,0.910000,674.060181,482
33,0.932000,642.508362,426
34,0.957000,617.822388,391
35,0.984000,598.648682,507
36,1.008000,684.345398,421
37,1.031000,665.974243,403
38,1.056000,582.611694,421
39,1.084000,764.586853,391
40,1.108000,631.523376,408
41,1.158000,643.223511,474
42,1.184000,638.751099,439
43,1.214000,693.865845,391
44,1.240000,648.998169,474
45,1.267000,636.072388,390
46,1.292000,594.303223,474
47,1.316000,659.005005,439
48,1.340000,689.875977,462
49,1.393000,641.43634,519
50,1.418000,713.536072,325
51,1.443000,597.609741,434
52,1.466000,659.216187,506
53,1.493000,628.033997,456
54,1.518000,600.394531,452
55,1.543000,633.634338,439
56,1.568000,622.733765,453
57,1.606000,654.722717,391
58,1.652000,592.42749,403
59,1.677000,589.974365,421
60,1.703000,606.900879,421
61,1.727000,683.720032,426
62,1.752000,643.990356,391
63,1.776000,638.500122,372
64,1.800000,647.495605,434
65,1.826000,546.543762,408
66,1.851000,575.1745,421
67,1.880000,587.265015,426
68,1.907000,629.273926,372
69,1.943000,583.126648,372
70,1.966000,549.406128,403
71,1.993000,646.748108,360
72,2.017000,534.651123,408
73,2.044000,555.178833,470
74,2.068000,606.192383,408
75,2.094000,571.038147,390
76,2.124000,643.808472,355
77,2.168000,531.848022,403
78,2.192000,646.797485,426
79,2.216000,513.344116,403
80,2.244000,659.615723,385
81,2.270000,535.1698,391
82,2.298000,668.665649,360
83,2.323000,605.031067,337
84,2.351000,580.710022,391
85,2.379000,629.868652,408
86,2.414000,591.837891,378
87,2.443000,620.607483,445
88,2.467000,654.147583,439
89,2.496000,567.887146,403
90,2.520000,614.179871,421
91,2.544000,615.249817,421
92,2.568000,684.022461,403
93,2.603000,578.974792,372
94,2.657000,599.903442,434
95,2.682000,603.890259,403
96,2.707000,644.713135,385
97,2.733000,645.720825,457
98,2.758000,677.286621,372
99,2.783000,600.181396,439
100,2.808000,541.390991,453
101,2.833000,615.701172,439
102,2.869000,628.170288,390
103,2.903000,646.364014,507
104,2.927000,678.014221,390
105,2.956000,667.80481,439
106,2.979000,633.595398,434
107,3.006000,555.814209,439
108,3.030000,628.533264,421
109,3.087000,636.874329,426
110,3.111000,592.182373,390
111,3.136000,639.723206,456
112,3.159000,610.095276,452
113,3.190000,673.352722,501
114,3.214000,610.277771,492
115,3.240000,709.018616,408
116,3.265000,622.884277,421
117,3.290000,641.189087,378
118,3.324000,626.320435,403
119,3.353000,718.405518,427
120,3.377000,628.850037,439
121,3.401000,577.625305,470
122,3.427000,695.268494,453
123,3.453000,609.001038,457
124,3.477000,658.492798,457
125,3.503000,645.97052,439
126,3.527000,696.760742,439
127,3.554000,710.486389,426
128,3.596000,709.03418,457
129,3.621000,706.709778,456
130,3.645000,687.950745,528
131,3.669000,682.182373,506
132,3.696000,686.69165,501
133,3.721000,778.887878,507
134,3.746000,739.124634,474
135,3.770000,752.805603,474
136,3.799000,777.059937,488
137,3.825000,660.297974,488
138,3.859000,744.353821,507
139,3.884000,761.909302,524
140,3.910000,713.93042,507
141,3.934000,788.248596,542
142,3.963000,696.489136,506
143,3.988000,815.716553,528
144,4.013000,822.492798,542
145,4.038000,734.002319,560
146,4.064000,730.156128,511
147,4.088000,767.337769,488
148,4.112000,835.866821,524
149,4.136000,864.114807,554
150,4.161000,766.011475,554
151,4.193000,794.714355,524
152,4.219000,769.914917,571
153,4.243000,780.903015,602
154,4.271000,792.90155,566
155,4.304000,799.104675,542
156,4.331000,741.869995,511
157,4.363000,804.164551,474
158,4.392000,799.57312,554
159,4.430000,770.885864,524
160,4.457000,802.103882,524
161,4.481000,776.887024,536
162,4.504000,878.429871,572
163,4.528000,775.595703,567
164,4.552000,746.385742,548
165,4.576000,790.308472,506
166,4.604000,742.524719,584
167,4.640000,822.899231,554
168,4.668000,809.377563,566
169,4.696000,789.779968,554
170,4.721000,749.395996,524
171,4.750000,826.463257,519
172,4.774000,796.599365,559
173,4.802000,831.4552,554
174,4.827000,745.225769,577
175,4.869000,801.263794,506
176,4.906000,815.266602,584
177,4.940000,777.016113,571
178,4.967000,762.956543,554
179,4.993000,806.613586,524
180,5.019000,837.15979,590
181,5.047000,768.247559,590
182,5.088000,772.022034,566
183,5.116000,728.295166,545
184,5.142000,779.023071,524
185,5.167000,808.01886,524
186,5.190000,803.58551,488
187,5.217000,725.131165,567
188,5.242000,732.800232,549
189,5.267000,788.679688,501
190,5.293000,730.562561,596
191,5.327000,747.056274,536
192,5.367000,685.129395,560
193,5.391000,777.320435,510
194,5.417000,817.880005,531
195,5.440000,780.063782,537
196,5.467000,792.370789,559
197,5.493000,803.404541,554
198,5.520000,816.542358,571
199,5.548000,740.996826,584
200,5.576000,761.769348,585
201,5.611000,767.885681,621
202,5.637000,791.116455,524
203,5.662000,714.807251,536
204,5.688000,794.276855,511
205,5.714000,725.625061,542
206,5.746000,782.772095,602
207,5.773000,759.310181,572
208,5.803000,818.239502,589
209,5.829000,838.065613,585
210,5.867000,726.428833,585
211,5.891000,830.893005,524
212,5.915000,825.092834,519
213,5.940000,799.272339,492
